id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
18,Web Development,easy,Which of the following is NOT a JavaScript data type?,String,Boolean,Integer,Number,c,"While JavaScript has an integer concept, it does not have a separate 'Integer' data type. Integers are a subset of the 'Number' data type."
19,Cybersecurity,medium,What is the difference between encryption and hashing?,Encryption is one-way, Hashing is two-way,Encryption is two-way, Hashing is one-way,they are the same thing,Hashing is used for security
20,Logic Design,hard,What is the main problem in asynchronous circuits?,High speed,Clock skew,Race hazards,Memory overflow,c,Asynchronous circuits risk race hazards due to absence of a global clock.
21,DSA,easy,What is a hash collision?,When two different keys produce the same hash value,When a hash table runs out of memory,When a hash function is not defined,When two hash tables are merged,a,A hash collision occurs when two different input keys produce the same output hash value. It is a common problem in hash tables that requires a collision resolution strategy to handle.
22,Web Development,hard,What is the purpose of a 'closure' in JavaScript?,To prevent a variable from being garbage-collected,To encapsulate a variable and maintain its state after the outer function has returned,To make a variable globally accessible,To create a private class member,b,"A closure is the combination of a function bundled together with references to its surrounding state (its lexical environment). It gives you access to an outer function's scope from an inner function, even after the outer function has finished executing."
23,Software Testing,easy,What is black-box testing?,Testing w/o knowing code internals,Testing memory,Testing only with code,Testing networks,a,"Black box checks functionality, ignoring code structure."
24,Computer Networks,hard,Which protocol works at the Transport Layer of OSI and is connectionless?,TCP,UDP,IP,DNS,b,"UDP is a transport layer, connectionless protocol with minimal overhead and no guarantee of delivery."
25,Computer Networks,medium,What does ARP do in networking?,Maps IP to MAC,Maps MAC to IP,Maps IP to Domain,Maps MAC to URL,a,ARP resolves IP addresses to corresponding MAC addresses.
26,Algorithms,easy,Which searching algorithm is efficient only when the data is sorted?,Linear Search,Binary Search,DFS,BFS,b,Binary Search requires sorted data and works in O(log n) time.
27,Cybersecurity,easy,What is the purpose of a firewall?,To block all internet traffic to a network,To monitor and control incoming and outgoing network traffic,To manage user passwords,To protect against physical theft of a computer,b,A firewall is a network security system that monitors and controls network traffic based on a set of security rules. It acts as a barrier between a trusted internal network and untrusted external networks.
28,Machine Learning,medium,"What is the purpose of a ""bias-variance tradeoff""?",To find the optimal balance between model complexity and performance,To prevent a model from being biased towards one class,To reduce the computational cost of training,To balance the training and testing data,a,The bias-variance tradeoff describes the conflict in trying to create a model that is both simple enough to avoid overfitting (low variance) but complex enough to capture the underlying pattern (low bias). Finding the right balance is a key challenge in machine learning.
29,SQL,hard,"What is a ""self-join""?",A join on a table with itself,A join that doesn't require a key,A join used for recursive queries,A join that combines two different tables,a,"A self-join is a regular join that joins a table to itself. This is useful when you need to combine rows from the same table, for example, to find an employee's manager who is also in the same `employees` table."
30,Software Engineering,easy,What does UML stand for?,Unified Modeling Language,User Management Layer,Useful Markup Language,Universal Machine Logic,a,UML is Unified Modeling Language for design diagrams.
31,Operating Systems,easy,What is the role of a process scheduler?,To manage system calls,To manage the user interface,To select a process from the ready queue and allocate the CPU to it,To manage file permissions,c,The process scheduler is a component of the operating system that selects the next process to be executed by the CPU from the list of ready processes. It is a key part of multitasking.
32,Cybersecurity,easy,What is a phishing attack?,An attack that encrypts a user's files and demands a ransom,An attack that uses malware to steal data,An attack that tricks users into revealing personal information,An attack that overloads a network with traffic,c,"A phishing attack is a type of social engineering where an attacker sends a fraudulent message to trick a person into revealing sensitive information, like passwords or credit card numbers."
33,Web Development,easy,What is the purpose of a `<div>` tag?,To create a button,To define a division or section in an HTML document,To link to a stylesheet,To display an image,b,"The `<div>` tag is a block-level element used as a generic container for flow content, often used to group other elements for styling with CSS or manipulation with JavaScript."
34,Operating Systems,hard,Which scheduling is best for real-time systems?,Round Robin,First-Come-First-Serve,Priority Scheduling,Rate Monotonic Scheduling,d,Rate Monotonic Scheduling is widely used for hard real-time tasks.
35,Python,hard,What is the use of `__metaclass__` in Python?,Defines class-level variables,Controls the creation of classes,Optimizes memory,Defines operator overloads,b,__metaclass__ allows customization of class creation.
36,Artificial Intelligence,medium,Markov Decision Process (MDP) is framework for?,Unsupervised ML,Reinforcement Learning,Classification,Model Checking,b,"MDPs define state, action, reward, transition used in RL."
37,Deep Learning,hard,Which optimizer is adaptive and combines momentum with RMSProp?,SGD,Adam,Adagrad,Nadam,b,"Adam is an adaptive optimizer, combining RMSProp and momentum."
38,Computer Networks,easy,What does the acronym DNS stand for?,Data Network System,Domain Name System,Dynamic Network Service,Digital Naming Service,b,"DNS stands for Domain Name System. It is the internet's phonebook, translating human-readable domain names into IP addresses."
39,SQL,hard,What will happen if you use `UNION ALL` instead of `UNION`?,Duplicates removed,Duplicates preserved,Query runs slower,It sorts data,b,"UNION ALL preserves duplicates, unlike UNION which removes them."
40,Operating Systems,medium,What is the primary purpose of a page table?,To store a list of all running processes,To map logical addresses to physical addresses,To keep track of system security settings,To manage file permissions,b,A page table is a data structure used in virtual memory to map logical addresses used by a process to the physical addresses in the main memory.
41,Python,hard,What does the __del__() method do?,Defines constructor,Destructor called on object deletion,Makes immutable object,Initializes class,b,The __del__() method is a destructor that is called when an object is garbage collected.
42,Software Engineering,medium,What is the purpose of 'continuous integration' (CI)?,To continuously deploy code to production,To integrate code changes from multiple developers frequently,To perform system-wide regression testing,To manually check for errors,b,Continuous Integration (CI) is a practice where developers regularly merge their code changes into a central repository. Automated builds and tests are run to detect integration errors early.
43,Cloud Computing,medium,Which tool orchestrates containers?,Docker,VMware,Kubernetes,Terraform,c,Kubernetes orchestrates scaling and managing containers.
44,Artificial Intelligence,easy,Which algorithm is used to explore state spaces?,Binary Search,BFS,Hashing,Sorting,b,Breadth-First Search explores states systematically.
45,Cybersecurity,easy,What does the acronym DDoS stand for?,Data Destruction on Demand System,Direct Denial of Service,Distributed Denial of Service,Dynamic Defense of Systems,c,DDoS stands for Distributed Denial of Service. It's an attack where multiple compromised computer systems flood a target's network with traffic to make the service unavailable to legitimate users.
46,Machine Learning,hard,Explain the difference between a bagging and boosting ensemble method.,Bagging trains models sequentially; Boosting trains them in parallel,Bagging reduces variance; Boosting reduces bias,Bagging focuses on reducing bias; Boosting focuses on reducing variance,They are different names for the same thing,b,"Bagging (like Random Forest) trains multiple models in parallel and averages their predictions to reduce variance. Boosting (like Gradient Boosting) trains models sequentially, where each new model corrects the errors of the previous one, primarily reducing bias."
47,Cybersecurity,easy,What is a phishing attack?,An attack that encrypts a user's files and demands a ransom,An attack that uses malware to steal data,An attack that tricks users into revealing personal information,An attack that overloads a network with traffic,c,"A phishing attack is a type of social engineering where an attacker sends a fraudulent message to trick a person into revealing sensitive information, like passwords or credit card numbers."
48,Artificial Intelligence,medium,What does Alpha-Beta pruning optimize?,Minimax search,Greedy search,Dijkstra,Bellman Ford,a,Alpha-beta pruning reduces nodes needed in Minimax search.
49,Data Structures,medium,What is the maximum number of children a binary tree node can have?,1,2,3,Unlimited,b,Binary tree nodes have at most 2 children.
50,Artificial Intelligence,hard,Which logic is used in Prolog for declarative problem solving?,Boolean Logic,Predicate Logic,Fuzzy Logic,Modal Logic,b,Prolog is based on first-order predicate logic and is used in AI for declarative problem solving and knowledge representation.
51,Machine Learning,medium,What is the difference between classification and regression?,Classification predicts a continuous value; Regression predicts a discrete label,Classification predicts a discrete label; Regression predicts a continuous value,They are the same thing,Regression is an unsupervised task,b,"Classification models predict a discrete or categorical outcome (e.g., Spam"" or ""Not Spam""). Regression models predict a continuous or numerical outcome (e.g."
52,Web Development,hard,What is the role of a Service Worker in web development?,To manage cookies and sessions,To provide a user interface for web apps,To handle push notifications and offline caching,To manage the server-side logic of a web app,c,"A Service Worker is a JavaScript file that runs in the background of a web page. It acts as a proxy between the browser and the network, enabling offline functionality, caching assets, and handling push notifications."
53,Web Development,hard,What is the difference between `let` and `const`?,`let` can be reassigned, while `const` cannot,`let` is for numbers, `const` is for strings,`let` is global scope, `const` is local scope
54,Cybersecurity,medium,What is the difference between encryption and hashing?,Encryption is one-way, Hashing is two-way,Encryption is two-way, Hashing is one-way,they are the same thing,Hashing is used for security
55,Data Science,medium,What is feature engineering?,Scaling features,Reducing dataset size,Creating new variables from raw data,Shuffling dataset,c,Feature engineering creates predictive variables improving model accuracy.
56,Cybersecurity,hard,What is the main purpose of a nonce in cryptography?,To store user credentials,To detect data integrity,To ensure uniqueness in encryption operations,To compress data,c,A nonce is a random/unique number used once to prevent replay attacks and ensure encryption freshness.
57,Computer Networks,hard,Which routing protocol uses vector-distance?,OSPF,RIP,BGP,ICMP,b,RIP is distance-vector protocol.
58,Python,easy,What is the correct way to check if an item 'x' is in a list 'my_list'?,if my_list.has(x):,if x in my_list:,if my_list.contains(x):,if my_list[x]:,b,The `in` keyword is the most common and Pythonic way to check for the presence of an item in a list or any other iterable.
59,Computer Networks,hard,Which TCP flag is used to end a session?,START,FIN,ACK,SYN,b,The FIN flag signals the termination of a TCP connection.
60,Deep Learning,hard,What is gradient vanishing?,When gradients disappear,When weights get bigger,Performance increases,Memory shrinks,a,Vanishing gradients make training deep networks difficult.
61,Machine Learning,hard,Which architecture introduced attention mechanisms?,CNN,RNN,Transformer,Decision Tree,c,Transformers popularized attention mechanisms for NLP.
62,Machine Learning,easy,Which of these is a popular machine learning library in Python?,NumPy,matplotlib,scikit-learn,Flask,c,"scikit-learn is a widely-used Python library for machine learning. It provides a vast collection of algorithms for classification, regression, clustering, and more."
63,Data Structures,medium,What is the purpose of a 'doubly linked list'?,To store elements in contiguous memory,To allow traversal in both forward and backward directions,To have a faster search time,To reduce memory usage,b,"A doubly linked list is a list where each node contains a pointer to the next node and a pointer to the previous node. This allows for traversal in both directions, unlike a singly linked list."
64,Operating Systems,hard,"What is ""Bankerâ€™s Algorithm"" used for?",Page replacement,Deadlock detection,Deadlock avoidance,Process scheduling,c,Banker's algorithm helps avoid deadlock by allocating resources only if the system remains in a safe state.
65,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables."""
66,Machine Learning,easy,Which ML type is Regression?,Supervised,Unsupervised,Reinforcement,Clustering,a,Regression is a supervised task where outputs are predicted continuously.
67,SQL,easy,Which SQL statement is used to remove duplicate rows?,FILTER,UNIQUE,DISTINCT,EXCLUDE,c,The `DISTINCT` keyword ensures only unique rows are returned in the query result.
68,Algorithms,medium,Which algorithm is used for maximum flow problem?,Prim,Kruskal,Ford-Fulkerson,Dijkstra,c,Ford-Fulkerson solves max flow problem.
69,Algorithms,hard,Which algorithm is best for finding maximum bipartite matching?,Kruskalâ€™s Algorithm,Ford-Fulkerson,Hungarian Algorithm,Primâ€™s Algorithm,c,The Hungarian Algorithm is efficient for maximum weighted bipartite matching.
70,Software Testing,medium,Which testing checks system load?,Smoke Test,Stress Testing,Regression,Unit Testing,b,Stress testing checks reliability at high load.
71,Machine Learning,medium,"What is a ""confusion matrix"" used for?",To visualize model performance on unseen data,To plot the training and validation loss,To evaluate the performance of a classification model,To find correlated features,c,"A confusion matrix is a table used to evaluate the performance of a classification model. It shows the number of correct and incorrect predictions for each class, including true positives, false positives, true negatives, and false negatives."
72,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.
73,Algorithms,medium,Which algorithm is used for topological sorting?,DFS,BFS,Kruskal,Dijkstra,a,Topological sort is based on DFS.
74,Data Structures,hard,What is the time complexity of searching for an element in a binary search tree in the worst case?,O(1),O(n),O(log n),O(n log n),b,"In the worst case, a binary search tree can degenerate into a linked list (e.g., if elements are inserted in sorted order), making the search operation linear, with a complexity of O(n)."
75,SQL,hard,Which normal form removes transitive dependency?,1NF,2NF,3NF,BCNF,c,Third Normal Form (3NF) removes transitive dependencies between non-prime attributes.
76,Python,hard,"What is a ""generator expression"" in Python?",A function that returns a generator,A list comprehension using round brackets,A special kind of for loop,A function that returns an iterable,b,"A generator expression is a concise way to create an iterator, similar to a list comprehension, but using round brackets `()` instead of square brackets `[]`."
77,Logic Design,medium,What is canonical SOP?,Sum of products of all minterms,Simplified sum,Exclusive-OR expression,Donâ€™t cares only,a,Canonical SOP is sum of all minterms.
78,Data Structures,medium,What is adjacency list best suited for?,Dense graphs,Sparse graphs,Linear data,Sorting,b,Adjacency list efficient for sparse graphs.
79,Software Engineering,medium,What is the difference between functional and non-functional requirements?,Functional requirements are about how a system works; non-functional are about what it does,Functional are what the system does; non-functional are how it works,Functional are for users; non-functional are for developers,Functional are mandatory; non-functional are optional,b,"Functional requirements describe what the system must do (e.g., 'the system must allow users to log in'). Non-functional requirements describe how the system should perform (e.g., 'the system must load in under 2 seconds')."
80,Software Engineering,easy,What is a 'bug' in software?,A new feature,A logic error or defect in the code,A type of software testing,A programming language,b,"A bug is an error, flaw, or fault in a computer program that causes it to produce an incorrect or unexpected result."
81,SQL,medium,What does the COUNT(*) function return?,Number of NULLs,Row count,Number of columns,Table size in MB,b,The COUNT(*) function counts all rows including NULLs.
82,Cloud Computing,medium,Which service provides databases as a managed offering?,SaaS,PaaS,DBaaS,IaaS,c,Database-as-a-Service provides database environments without manual management.
83,Data Structures,hard,What is the purpose of an adjacency matrix in a graph?,To list all vertices and edges,To store the cost of traversing an edge,To represent the connections between vertices,To find the shortest path between two vertices,c,"An adjacency matrix is a 2D array used to represent a graph. A value of 1 or more in `matrix[i][j]` indicates an edge between vertex i"" and vertex ""j"""
84,SQL,medium,What is a composite key?,Key with duplicates,Key with two or more columns,Key with NULL values,Key without constraints,b,Composite key combines two or more columns to uniquely identify a row.
85,Software Engineering,easy,What is Waterfall model best described as?,Iterative,Sequential,Agile,Spiral,b,The Waterfall model is a linear sequential software development approach.
86,Database Management,easy,What is a primary key in a database table?,A key that is unique for each record,A key used to join tables,A foreign key,A key that can have duplicate values,a,A primary key is a field (or combination of fields) that uniquely identifies each record in a database table. It must contain unique values and cannot be NULL.
87,Logic Design,hard,What is 'race around condition' in a JK flip-flop and how is it resolved?,It occurs when J and K are different; resolved by using an inverter,It occurs when J and K are both 1 and the clock pulse is long; resolved with an edge-triggered or master-slave design,It occurs when J and K are both 0; resolved with an AND gate,It occurs when the clock frequency is too high; resolved by lowering the clock speed,b,"A race around condition happens in a level-triggered JK flip-flop when both J and K inputs are 1 and the clock pulse is high for too long, causing the output to toggle multiple times. This is resolved by using edge-triggered or master-slave flip-flops."
88,Data Structures,hard,What is the maximum height of a Red-Black Tree with n nodes?,O(n),O(log n),O(n log n),O(âˆšn),b,"Red-Black trees are balanced, ensuring height O(log n)."
89,Data Structures,easy,What is the time complexity of pushing an element to a stack?,O(n),O(log n),O(1),O(n^2),c,"A push operation on a stack is a constant time operation, O(1), because you only need to add an element to the top, which takes a single step regardless of the stack's size."
90,Machine Learning,hard,"What is the ""vanishing gradient"" problem?",When the model's performance plateaus during training,When the gradient becomes extremely large, leading to unstable training,When the gradient becomes extremely small,slowing down or halting the learning process,When a model's weights become zero
91,Data Structures,easy,Which data structure is used in recursion?,Stack,Queue,Tree,Array,a,Recursion uses the call stack to store return addresses.
92,Cybersecurity,medium,What is the purpose of hashing in security?,To encrypt data,To compress data,Verify data integrity,Speed up database queries,c,Hashes verify integrity and authenticity because they detect changes in data.
93,Machine Learning,medium,What is cross entropy used for?,Loss for classification,Feature scaling,Optimization speed,Data encoding,a,Cross entropy is classification loss.
94,Python,hard,Which feature allows defining functions inside functions?,Closures,Generators,Lambda,Metaclass,a,Closures allow inner functions capturing variables from enclosing scopes.
95,Cybersecurity,medium,What is a SQL Injection attack?,An attack that targets a database with a series of SQL queries,An attack that uses malware to gain unauthorized access to a network,An attack that uses malicious SQL statements to control a database server,An attack that floods a database with too much traffic,c,"A SQL injection attack is a technique that uses malicious SQL statements inserted into a data input field to trick the database into executing unauthorized commands, which can lead to data theft or destruction."
96,Python,hard,What is the use of `__metaclass__` in Python?,Defines class-level variables,Controls the creation of classes,Optimizes memory,Defines operator overloads,b,__metaclass__ allows customization of class creation.
97,Artificial Intelligence,hard,Which approach makes decisions based on maximizing expected utility?,Heuristic AI,Utility-based agents,Greedy approach,Model-free agent,b,Utility-based agents aim to maximize expected utility outcomes.
98,Computer Networks,hard,Which routing algorithm does OSPF use?,Distance Vector,Link State,Flooding,Path-Vector,b,OSPF is a link-state protocol that uses Dijkstra algorithm internally.
99,Machine Learning,hard,What is a Generative Adversarial Network (GAN)?,A neural network used for regression tasks,A network that combines a generative model and a discriminative model,A network used for image classification,A type of recurrent neural network,b,"A GAN consists of two neural networks: a generator that creates new data (e.g., images) and a discriminator that evaluates the data. They are trained in a zero-sum game, where the generator tries to fool the discriminator, and the discriminator tries to correctly identify fake data."
100,Python,hard,"What is a ""generator expression"" in Python?",A function that returns a generator,A list comprehension using round brackets,A special kind of for loop,A function that returns an iterable,b,"A generator expression is a concise way to create an iterator, similar to a list comprehension, but using round brackets `()` instead of square brackets `[]`."
101,Data Science,easy,Which library is used for numerical computations?,NumPy,Matplotlib,Pandas,Seaborn,a,NumPy is the primary library for efficient numerical computations in Python.
102,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.
103,Cybersecurity,hard,What is Kerberos protocol used for?,File storage,Authentication,Data compression,Keyless routing,b,Kerberos is an authentication protocol using tickets for secure user login.
104,Data Structures,hard,What is the time complexity of inserting a node in a red-black tree?,O(1),O(log n),O(n),O(n log n),b,Balancing ensures height is O(log n).
105,Cybersecurity,hard,"What is the primary function of a ""Security Information and Event Management"" (SIEM) system?",To manage user access permissions,"To collect, aggregate, and analyze security data from various sources to detect threats",To encrypt a company's data,To manage network firewalls,b,"A SIEM system is a centralized platform that collects, aggregates, and analyzes log data and security events from across an organization's IT infrastructure. It helps security teams detect, analyze, and respond to security threats in real-time."
106,SQL,medium,What is the difference between `UNIQUE` and `PRIMARY KEY`?,Both allow multiple NULLs,PRIMARY KEY allows NULL but UNIQUE does not,PRIMARY KEY cannot allow NULLs and only one per table,They are identical,c,A table can have multiple `UNIQUE` constraints but only one `PRIMARY KEY`. PRIMARY KEY cannot contain NULL.
107,Data Structures,hard,What is the time complexity of searching for an element in a binary search tree in the worst case?,O(1),O(n),O(log n),O(n^2),b,"In the worst case, a binary search tree can degenerate into a linked list (e.g., if elements are inserted in sorted order), making the search operation linear, with a complexity of O(n)."
108,SQL,hard,Which constraint ensures referential integrity?,Primary Key,Foreign Key,Unique,Check,b,Foreign Key constraint enforces referential link.
109,Operating Systems,medium,What is 'thrashing' in an operating system?,Excessive disk I/O due to a low number of page faults,A state where the system spends more time paging than executing,A system crash caused by too many processes,A rapid increase in CPU temperature,b,"Thrashing is a state where the system's virtual memory is over-committed, and it spends a large amount of time moving pages between RAM and disk, which significantly degrades performance."
110,Deep Learning,hard,Which architecture introduced attention?,CNN,RNN,Transformer,Autoencoder,c,Transformers introduced attention mechanisms widely adopted in NLP/vision.
111,Deep Learning,medium,Which layer is used for feature extraction in CNNs?,Output layer,Pooling layer,Dropout layer,Normalization layer,b,Pooling layers downsample feature maps and help extract features at different scales.
112,Data Structures,medium,What is a 'stack overflow' error?,An error that occurs when a stack becomes too large,An error when the stack pointer points to an invalid address,An error that occurs when a stack has no elements,A security vulnerability,a,"A stack overflow error occurs when the call stack, which is used to store function calls and local variables, runs out of memory. This often happens in infinite recursion without a base case."
113,Python,easy,What is the keyword used to create a class in Python?,function,class,def,object,b,Python uses the `class` keyword to define a new class.
114,Computer Networks,easy,What does the acronym IP stand for?,Internet Protocol,Inter-Process,Internal Protocol,Integrated Protocol,a,IP stands for Internet Protocol. It is the primary protocol used for routing packets of data from a source device to a destination device across a network.
115,Machine Learning,medium,What is the difference between classification and regression?,Classification predicts a continuous value; Regression predicts a discrete label,Classification predicts a discrete label; Regression predicts a continuous value,They are the same thing,Regression is an unsupervised task,b,"Classification models predict a discrete or categorical outcome (e.g., Spam"" or ""Not Spam""). Regression models predict a continuous or numerical outcome (e.g."
116,Cloud Computing,easy,Which of these is an example of SaaS?,Dropbox,AWS EC2,Docker,Kubernetes,a,Dropbox is SaaS because it provides software services via the cloud.
117,Operating Systems,medium,"What is a ""semaphore"" in an operating system?",A type of interrupt handler,A variable or abstract data type used to control access to a common resource by multiple processes,A type of file system,A process scheduling algorithm,b,A semaphore is a variable that is used to control access to a common resource by multiple processes. It is a synchronization mechanism used to prevent race conditions and ensure mutual exclusion.
118,Python,hard,What is the purpose of the `__call__` method?,To make an object callable like a function,To call a superclass method,To define a custom string representation,To perform a deep copy of an object,a,"The `__call__` method allows an instance of a class to be called as a function. This makes objects callable, which can be useful for creating custom function-like objects."
119,Python,medium,What is the difference between a shallow copy and deep copy?,Both copy nested data,Shallow copies references, deep copies nested objects,Shallow is faster always,no difference,B
120,Computer Networks,hard,Which protocol provides reliable byte-stream communication?,UDP,TCP,IP,ICMP,b,TCP guarantees reliable ordered byte-stream transport.
121,Algorithms,hard,What is the Bellman-Ford algorithm used for?,Finding the shortest path in a graph with non-negative edge weights,Finding the minimum spanning tree,Finding the shortest path in a graph with negative edge weights,Finding all pairs shortest paths,c,"The Bellman-Ford algorithm is used to find the shortest paths from a single source vertex to all other vertices in a weighted graph, even if some of the edge weights are negative. It can also detect negative-weight cycles."
122,Cybersecurity,easy,What is the purpose of a firewall?,To block all internet traffic to a network,To monitor and control incoming and outgoing network traffic,To manage user passwords,To protect against physical theft of a computer,b,A firewall is a network security system that monitors and controls network traffic based on a set of security rules. It acts as a barrier between a trusted internal network and untrusted external networks.
123,Cybersecurity,hard,What is privilege escalation?,Upgrading OS,Attacker gaining higher rights,Encrypting files,Firewall block,b,Privilege escalation gives attacker elevated access.
124,Operating Systems,medium,Which replacement policy uses frequency of access?,LRU,LIFO,Optimal,LFU,d,LFU replaces least frequently used page in memory.
125,Algorithms,medium,Which algorithm is best for finding all pairs shortest path?,Dijkstra,Floyd-Warshall,Bellman-Ford,Prim,b,Floyd-Warshall finds APSP.
126,Software Engineering,hard,What is a 'design pattern'?,A template for writing code,A general, reusable solution to a common software design problem,A specific bug that reoccurs in software,a standard for naming variables,B
127,Data Structures,easy,What is a Queue?,A Last-In, First-Out (LIFO) data structure,A First-In, First-Out (FIFO) data structure,a data structure that allows random access,A non-linear data structure
128,Machine Learning,medium,What is gradient descent used for?,Feature selection,Dimensionality reduction,Finding optimal parameters of a model,Handling missing data,c,Gradient descent minimizes loss functions by iteratively updating parameters in the direction of the steepest descent.
129,Operating Systems,medium,Which algorithm allocates CPU to the process with smallest remaining time?,SJF,Round Robin,SRTF,Priority,c,SRTF selects processes with shortest remaining burst time.
130,Software Development,easy,"What is the main purpose of a ""version control"" system like Git?",To track and manage changes to source code,To compile source code into an executable file,To manage user permissions on a project,To create a database for a project,a,"A version control system (VCS) like Git is a tool that tracks and manages changes to source code over time, making it easy for multiple developers to collaborate and revert to previous versions."
131,Algorithms,medium,Which algorithm is commonly used to construct a Huffman Tree?,Dynamic Programming,Backtracking,Greedy Algorithm,Divide and Conquer,c,Huffman coding uses a greedy approach where the two least frequent nodes are combined iteratively to minimize encoding length.
132,Data Structures,hard,What is the time complexity of the `dequeue` operation on a queue implemented using a circular array?,O(1),O(n),O(log n),O(n^2),a,"A circular array-based queue can perform both enqueue and dequeue operations in constant time, O(1), by simply updating the front or rear pointers (or indices)."
133,Machine Learning,hard,"What is the purpose of a ""softmax"" activation function in the output layer of a neural network?",To add a non-linearity to the model,To convert the outputs into probabilities that sum to 1,To scale the outputs to be between -1 and 1,To reduce the dimensionality of the output,b,"The softmax function is used in multi-class classification problems. It takes a vector of real numbers and normalizes them into a probability distribution, where each value is between 0 and 1 and all values sum to 1."
134,Data Science,medium,What is PCA used for?,Supervised prediction,Clustering,Dimensionality reduction,Image generation,c,Principal Component Analysis reduces dataset dimensionality by feature transformation.
